"geneNames.as.numeric.rownames.res1..1.l1...","res1.adj.P.Val.1.l1."
"RPL13A",1.13580418692492e-60
"Celera Transcript hCT2350434",1.24871886243937e-59
"RPL31",1.37750255456399e-59
"Celera Transcript hCT2350430",1.90991877862402e-58
"RPS7",1.90991877862402e-58
"Celera Transcript hCT1779910.2",3.63951092348799e-58
"--obsolete",4.75712203109645e-58
"Celera Transcript hCT1822271.2",6.39773279912066e-58
"Celera Transcript hCT2261896",6.56009611185349e-58
"Celera Transcript hCT1786154.2",7.01394743859916e-58
"Celera Transcript hCT2350447",1.02722710862346e-57
"Celera Transcript hCT23558.2",1.07162905642298e-57
"RPL35A",1.07162905642298e-57
"Celera Transcript hCT2284762",1.38513869018314e-57
"RPSA",1.38513869018314e-57
"Celera Transcript hCT18544.3",1.70759780342283e-57
"RPL37",1.97285587875384e-57
"RPS6",2.40222808405681e-57
"Celera Transcript hCT1641307.3",3.1371539098059e-57
"RPS2",5.59585766538435e-57
"Celera Transcript hCT2329009.1",6.3499322243847e-57
"Celera Transcript hCT2350309",7.57171575446585e-57
"Celera Transcript hCT2345514",7.93797187119781e-57
"185713",7.95325145553098e-57
"RPS18",7.95325145553098e-57
"RPS17",8.02914005053243e-57
"RPL35",8.74653626639744e-57
"Celera Transcript hCT2348176",9.42271123617082e-57
"RPS27",1.22558160922652e-56
"RPS25",1.31788966328864e-56
"RPL37A",1.32495649282226e-56
"RPS27A",1.69325650439258e-56
"RPLP0",1.69325650439258e-56
"Celera Transcript hCT2251954,Celera Transcript hCT2251953",1.69325650439258e-56
"Celera Transcript hCT2268417,Celera Transcript hCT2268412,Celera Transcript hCT2268415,Celera Transcript hCT2268416,Celera Transcript hCT2268414",1.80503292579131e-56
"RPS15",1.8051707857715e-56
"RPS18",1.8051707857715e-56
"Celera Transcript hCT2348176",1.8051707857715e-56
"Celera Transcript hCT83255.4",1.90496429566144e-56
"RPL31",1.92092111483786e-56
"Celera Transcript hCT14167.2",2.03505687675248e-56
"Celera Transcript hCT2283951",2.38926547908583e-56
"Celera Transcript hCT2283799",2.57073712864808e-56
"RPS2",2.78155341683004e-56
"Celera Transcript hCT1639929.3",3.31616422508073e-56
"Celera Transcript hCT7894.3",4.19259347792668e-56
"RPL27A",4.62024101643765e-56
"B2M",4.67731288820334e-56
"RPL27",4.8423766537938e-56
"Celera Transcript hCT2254018",6.10693012947636e-56
"RPS6",6.26595536526374e-56
"Celera Transcript hCT23418.2",1.0211414480595e-55
"RPL3",1.08732346464456e-55
"Celera Transcript hCT1763139.2",1.44746369843679e-55
"Celera Transcript hCT27974.3",1.46108257065009e-55
"RPL27A",1.57212875383943e-55
"Celera Transcript hCT1640300.3",1.6462564199772e-55
"Celera Transcript hCT1826921.2",1.98454291511663e-55
"RPL7A",2.64781517418105e-55
"Celera Transcript hCT1639904.4",2.72772055300723e-55
"TMSB4X",2.79620327399126e-55
"Celera Transcript hCT2345503",2.99161937221447e-55
"Celera Transcript hCT23558.2",3.28538174408089e-55
"Celera Transcript hCT2346529",3.32920557724283e-55
"Celera Transcript hCT24592.1",3.74634673774685e-55
"OAZ1",3.74634673774685e-55
"Celera Transcript hCT1961306.1",3.85852367493538e-55
"Celera Transcript hCT13040.2",4.43604947336135e-55
"Celera Transcript hCT1777490.4",4.6958746939467e-55
"Celera Transcript hCT2298455",5.72317235280838e-55
"Celera Transcript hCT2309031,Celera Transcript hCT2309032,Celera Transcript hCT2309039,Celera Transcript hCT2309037,Celera Transcript hCT2309038,Celera Transcript hCT2309029,Celera Transcript hCT2309035,Celera Transcript hCT2309034,Celera Transcript hCT23",5.93130343399883e-55
"Celera Transcript hCT7843.3",6.81279434323776e-55
"Celera Transcript hCT2313621.1",6.97404685597246e-55
"RPL29",8.3727140027961e-55
"RPS15A",9.09726160373107e-55
"Celera Transcript hCT1641646.3",9.29656326548553e-55
"Celera Transcript hCT2318083,Celera Transcript hCT7031.3",1.05422413336813e-54
"Celera Transcript hCT1809954.2",1.05422413336813e-54
"Celera Transcript hCT6696.2",1.08329377265498e-54
"RPL7A",1.09652265486747e-54
"RPL38",1.09895449155414e-54
"Celera Transcript hCT1641534.3",1.09895449155414e-54
"RPL39",1.14507110123373e-54
"RPS8",1.34046248347103e-54
"RPL18",1.34046248347103e-54
"RPL7",1.35957051658432e-54
"Celera Transcript hCT1643509.1",1.35957051658432e-54
"Celera Transcript hCT1971408.2",1.35957051658432e-54
"Celera Transcript hCT2348189",1.66369886854392e-54
"RPL24",2.03994535303008e-54
"Celera Transcript hCT172999.2",2.04275746151418e-54
"--obsolete",2.17804325363377e-54
"Celera Transcript hCT1640416.5",2.27526056846537e-54
"Celera Transcript hCT401132.4",2.32837229904455e-54
"RPL10A",2.37490763756509e-54
"Celera Transcript hCT13097.2",2.61800932846446e-54
"RPL5",3.12080075171776e-54
"RPL14",3.16537700273156e-54
"RPL9",3.25034540510888e-54
"Celera Transcript hCT1642209.1",3.34434534336747e-54
"Celera Transcript hCT1821420.3",3.56769002872091e-54
"Celera Transcript hCT24494.3,Celera Transcript hCT2288096,Celera Transcript hCT2288101",3.61769347879008e-54
"--obsolete",3.61769347879008e-54
"Celera Transcript hCT1826857.1",4.09158432124703e-54
"RPL13",4.18671192475071e-54
"Celera Transcript hCT2350384",4.20878843169759e-54
"Celera Transcript hCT1641528.2",4.21153902706213e-54
"Celera Transcript hCT1641805.1",4.6397135364477e-54
"RPL30",4.7122994973909e-54
"Celera Transcript hCT1640604.2",4.7122994973909e-54
"Celera Transcript hCT2346476.1",4.73015317219501e-54
"RPS15A",5.69837887417541e-54
"Celera Transcript hCT2287093",6.51354101607784e-54
"RPS3A",7.65644384440216e-54
"Celera Transcript hCT2318592,Celera Transcript hCT12305.3",7.68161402401083e-54
"Celera Transcript hCT1640252.2",7.78175642634887e-54
"Celera Transcript hCT6393.4",8.36027702532674e-54
"RPS29",8.44587269214591e-54
"Celera Transcript hCT6747.3",8.84180482685949e-54
"Celera Transcript hCT1971271.2",9.00891793684404e-54
"RPL21",1.04014233730039e-53
"Celera hCG38537.3",1.10235569161171e-53
"--obsolete",1.10235569161171e-53
"Celera Transcript hCT1829230.2",1.11554181030995e-53
"Celera Transcript hCT1644728.2",1.19827101320774e-53
"Celera Transcript hCT1642014.3,Celera Transcript hCT2266626",1.23868565021056e-53
"PSMB4",1.23868565021056e-53
"Celera Transcript hCT1643159.1",1.40523973293205e-53
"Celera Transcript hCT1641444.4",1.61677153322663e-53
"Celera Transcript hCT2345441",1.63588598078764e-53
"RPS24",1.65055248169299e-53
"Celera Transcript hCT16432.5",1.68403263504284e-53
"Celera Transcript hCT9348.3",1.82796892227747e-53
"Celera Transcript hCT1641651.3",1.9072953654501e-53
"Celera Transcript hCT29715.2",2.06960944727982e-53
"Celera Transcript hCT1655624.4",2.13334005463366e-53
"RPL15",2.13581547708382e-53
"Celera Transcript hCT1641830.2",2.37984491016643e-53
"Celera Transcript hCT2345483",2.45719373178958e-53
"Celera Transcript hCT1817361.1",2.79485076667656e-53
"Celera Transcript hCT1826857.1",2.79828085336116e-53
"RPL7",2.92469354211669e-53
"Celera Transcript hCT7106.4",3.07733350239077e-53
"Celera Transcript hCT1815903.2",3.21389251506791e-53
"Celera Transcript hCT2360752",3.2355763338518e-53
"Celera Transcript hCT1641166.2",3.65236022120887e-53
"Celera Transcript hCT2326427.1",3.68722740750701e-53
"Celera Transcript hCT1970995.1",3.72998208586818e-53
