"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"ATP5O",1.07456217673628e-17
"BCLAF1",3.28385535602631e-17
"BC026007",6.58438709608649e-17
"CYP3A4",1.15464918174376e-16
"CCDC182",3.06544414979187e-16
"ZNF781",3.41149785171221e-15
"ITGA2",4.53398658177477e-15
"RTCA",6.37945246221122e-15
"TMC7",6.51904924878862e-15
"CES3",7.64471875517229e-15
"LRR1",1.27551300001934e-14
"AK026238",1.7108290408865e-14
"LSMEM1",2.65659916884335e-14
"MFAP3",4.5930654718314e-14
"NRF1",4.5930654718314e-14
"AK024580",4.5930654718314e-14
"GOLGA8M",5.82070131590697e-14
"VKORC1",5.83042880862556e-14
"SORBS2",5.87647165042952e-14
"PROCA1",5.87647165042952e-14
"USP32",5.87647165042952e-14
"MKRN1",5.97761903662713e-14
"TTC4",1.0416651177808e-13
"BACH2",1.0416651177808e-13
"1565662_at",1.09875811184559e-13
"MAML1",1.12253589002785e-13
"YIPF4",1.12253589002785e-13
"B3GALT5",1.29985973100773e-13
"NDUFC1",1.35734963607246e-13
"AW291507",1.35734963607246e-13
"USB1",1.7350098786926e-13
"MIR4453",1.8548847724084e-13
"AL713719",2.29458095062637e-13
"AK000853",2.40595749725312e-13
"FAM221A",2.69991877408006e-13
"GIPC3",4.94788128551654e-13
"DUSP16",5.127029954164e-13
"VAMP2",5.127029954164e-13
"TMEM178B",5.40034145595884e-13
"AFDN",6.92290543592075e-13
"ZNF425",7.82172588256444e-13
"LOC100996251",7.84928413437999e-13
"AW008915",8.24095662412134e-13
"SHCBP1L",9.65566334675708e-13
"AU146515",9.70990496323081e-13
"ANTXR2",1.04212499855085e-12
"UNGP2",1.04212499855085e-12
"ARHGEF1",1.1096441386051e-12
"MIPEPP3",1.1096441386051e-12
"244274_at",1.32193697632611e-12
"SHC3",1.47832528286725e-12
"NOP16",1.48070348716247e-12
"RMND5A",2.5775179141434e-12
"AI684450",2.5775179141434e-12
"SNORA17B",2.69173896388832e-12
"FAM160B2",2.70384847083891e-12
"AW296295",2.73631402775121e-12
"NDUFA7",2.82744250300693e-12
"USP9X",3.87553762454356e-12
"LCAT",3.95215632487252e-12
"AI301859",4.20481648420454e-12
"SRRM2",4.68400539114946e-12
"221176_x_at",4.91848831795548e-12
"236895_at",4.98521254166984e-12
"CLDN12",6.88819306004882e-12
"C8orf37",7.61719161704976e-12
"THAP6",7.6248644882687e-12
"TXNL1",7.6248644882687e-12
"AJ275371",8.57156004483538e-12
"ACVR1",9.32229667905857e-12
"CAPN11",9.41276203495358e-12
"AI991554",1.1020762319355e-11
"UBL4A",1.1020762319355e-11
"ITGA11",1.1020762319355e-11
"BICDL2",1.23428819358235e-11
"OSBP2",1.38749043792149e-11
"ZNF333",1.44441734973597e-11
"SLC25A28",1.54142831669021e-11
"CLOCK",1.56827696209844e-11
"RGS12",1.70999697323185e-11
"C10orf91",1.70999697323185e-11
"WNT7B",1.70999697323185e-11
"NOL3",1.70999697323185e-11
"CDKN2AIPNL",1.71534118357042e-11
"LNX2",1.7722706922991e-11
"PURA",1.7722706922991e-11
"LOC100630923",2.04889869887643e-11
"PROM2",2.12977617050359e-11
"THAP6",2.23425355495337e-11
"ARMCX5",2.39833987932045e-11
"PPP3CB",2.47058848629444e-11
"XRCC1",2.49104991148814e-11
"UBE2B",2.49104991148814e-11
"CRAT",2.75863645286256e-11
"MRP63",2.77089982785535e-11
"FAM104B",3.0044525386647e-11
"LOC101060521",3.0099856232469e-11
"AA826039",3.29862036903642e-11
"BE672379",3.32072575730576e-11
"C17orf89",3.32072575730576e-11
"PTGES3",3.71801766383785e-11
"AU154905",4.0580256915877e-11
"KIAA0196",4.16991951128118e-11
"NDRG2",4.36448295832801e-11
"SPOCK2",4.43832390115748e-11
"AGPAT5",4.52989475858474e-11
"UCHL5",4.61943070262409e-11
"C5orf63",5.2880880567263e-11
"LOC100630923",5.60222385465822e-11
"THYN1",5.64652002258182e-11
"CHRD",6.14688544357703e-11
"230842_at",6.14688544357703e-11
"AW263539",6.27022860028212e-11
"SLC2A1-AS1",6.45982443620969e-11
"AF116710",6.88783176185588e-11
"OGFOD1",6.88783176185588e-11
"CTC-338M12.4",7.13059366360489e-11
"HEYL",7.52346088642087e-11
"TIPRL",7.58994322458224e-11
"TJP2",7.6431370949206e-11
"CACNB2",7.79269130359316e-11
"BF439270",8.39946380752853e-11
"LSM14A",8.75162154870164e-11
"PERP",9.85261967740188e-11
"AA814800",9.85261967740188e-11
"ZNF254",1.01293550042671e-10
"ICA1L",1.02738318306955e-10
"STAU1",1.02738318306955e-10
"BC016001",1.03094873414494e-10
"CCDC97",1.03227529364337e-10
"SIAH1",1.06001111034729e-10
"AI217900",1.10149921326349e-10
"ZNF384",1.12260999713499e-10
"LOC283454",1.24370398650939e-10
"NDUFB4",1.24895759832225e-10
"LOC101927814",1.28495393886051e-10
"ATRX",1.30381815807026e-10
"ABLIM2",1.30381815807026e-10
"GVQW1",1.36107481183545e-10
"IGSF3",1.36107481183545e-10
"AA701507",1.37960976770615e-10
"TDRD3",1.39033788881027e-10
"SEC22A",1.3985885672723e-10
"SLC39A5",1.42025225942123e-10
"SHH",1.56380363588496e-10
"NAPEPLD",1.58961681125539e-10
"IPO8",1.62925589231569e-10
"SOX12",1.69444166698123e-10
"SLC30A6",1.73563798312017e-10
"SMC3",1.77622517457043e-10
"CRH",1.85745928407701e-10
"COL13A1",1.90124251315645e-10
"BE673759",2.14700289157137e-10
"LOC101927702",2.17906702068332e-10
"DNMT3A",2.23314870460498e-10
"LYL1",2.35636198159162e-10
"ARMC7",2.36320277761181e-10
"A1BG",2.41982488260849e-10
"POLR2C",2.59672072859294e-10
"AI923713",2.61962159851443e-10
"FCN2",2.64032238654988e-10
"241756_at",2.64032238654988e-10
"BC008637",2.66185388277634e-10
"KIAA1549",2.671310974787e-10
"CPEB4",2.69322603527757e-10
"ZNF451",2.6996703155407e-10
"TFDP2",2.6996703155407e-10
"NT5DC1",2.77811889678205e-10
"DHX32",3.07748406399284e-10
"HPS4",3.11394956087067e-10
"LRRC14",3.21429817556452e-10
"FAM83A",3.32964262039582e-10
"GH2",3.41646773771862e-10
"TAS1R1",3.44826081904008e-10
"BEX3",3.45681896102625e-10
"AI915566",3.60798804858953e-10
"DGKH",3.62538378243089e-10
"C16orf45",3.73899021200799e-10
"TTC3P1",3.74151643919439e-10
"SYN3",3.86553451296656e-10
"RPL17-C18orf32",3.86553451296656e-10
"CTTNBP2NL",3.86553451296656e-10
"TMCC1",3.86553451296656e-10
"TMEM167A",3.86553451296656e-10
"MRPL2",3.97160114785168e-10
"PABPC4L",3.98634772731479e-10
"MRPL30",3.98634772731479e-10
"CAMLG",4.21947353089915e-10
"DYNC2H1",4.39518186021651e-10
"GRID1",4.44674448641951e-10
"COPS2",4.44674448641951e-10
"GPR45",4.44674448641951e-10
"AA939154",4.57447605731291e-10
"CYP2B7P",4.59867768235267e-10
"ASCL1",4.61997996492614e-10
"FAM120AOS",4.68271980743653e-10
"ZFYVE16",4.76071260180875e-10
"KIAA1143",4.7740768314997e-10
"KDM4C",4.7740768314997e-10
"THTPA",5.09375035157694e-10
"PDE6D",5.09375035157694e-10
"229329_s_at",5.2020831739535e-10
"BAIAP2-AS1",5.38770136536253e-10
"AU144979",5.38770136536253e-10
"FAM13A",5.44548882332929e-10
"NAPA-AS1",5.53644119549364e-10
"ZNF17",5.68992139029655e-10
"RC3H2",5.71429149474438e-10
"HMGA1",5.75589063236311e-10
"239995_at",5.8867514826866e-10
"SSPO",5.94134765252034e-10
"AW195556",5.95808892267904e-10
"ZNF865",5.96629421496417e-10
"242589_x_at",6.03402213752752e-10
"SIGLEC7",6.03402213752752e-10
"DYNC2LI1",6.18460023157346e-10
"LOC101930071",6.22831192914374e-10
"1556589_at",6.42058007157119e-10
"ZMYM2",6.66036438024451e-10
"TICRR",6.66036438024451e-10
"MUC6",6.82516654605698e-10
"CA311143",6.85098153333868e-10
"AA490999",6.85098153333868e-10
"NIPAL3",6.86750121770964e-10
"AW971238",6.99230292407485e-10
"MUC4",7.10497728538386e-10
"RHOT2",7.21265182479923e-10
"SULT1C2",7.21265182479923e-10
"HEMK1",7.47277925765434e-10
"AW291354",7.50352091342205e-10
"METTL26",7.58238947706173e-10
"EXOSC3",7.6963307316549e-10
"LOC100506882",7.89786813468162e-10
"NCAPD3",7.93533875798191e-10
"PDIK1L",8.22398996503874e-10
"OXSR1",8.72176026017909e-10
"234898_at",9.08738378955696e-10
"MIA",9.25335729948593e-10
"BMP7",9.26854445164486e-10
"PSMC2",9.47398911391811e-10
"HAP1",9.72464078172298e-10
"OR1J4",9.76244087728809e-10
"SCLY",1.03323127252599e-09
"241777_x_at",1.03323127252599e-09
"SLC46A1",1.03568545671592e-09
"MIR4657",1.04065717546315e-09
"BE220061",1.07353702034306e-09
"LOC100506127",1.11966745158262e-09
"RPL30",1.14348537446461e-09
"CDCA3",1.15629786485295e-09
"PCDHB12",1.17414399380934e-09
"MTERF2",1.20069018063907e-09
"KRT10",1.20219996135029e-09
"BCAN",1.20972063493165e-09
"CTDSPL",1.20972063493165e-09
"CITED2",1.22834833190248e-09
"GTF2IP12",1.22834833190248e-09
"LINC00884",1.22866208760827e-09
"243461_at",1.24234274262635e-09
"IPO11-LRRC70",1.24234274262635e-09
"PDE7B",1.25511956390773e-09
"237448_at",1.26707186032335e-09
"HCRTR2",1.3038298169917e-09
"TACC2",1.3083017198678e-09
"STAG3",1.34705664092466e-09
"D61705",1.37302772806128e-09
"241213_x_at",1.3784800879492e-09
"BSDC1",1.39766504989508e-09
"RBMS3",1.41051671211913e-09
"C21orf2",1.42201982684818e-09
"PECR",1.44099126173869e-09
"BC017431",1.44848915756401e-09
"ZNF519",1.45652775713607e-09
"MIR4784",1.46798977127315e-09
"UFSP2",1.49688404508963e-09
"AI308174",1.5494483572685e-09
"216583_x_at",1.61061477100391e-09
"BC015876",1.63034946152109e-09
"MAPRE3",1.63034946152109e-09
"BC029255",1.66471644123467e-09
"AK2",1.70373293858926e-09
"PMS2P3",1.75186977873562e-09
"VCPKMT",1.79239398168785e-09
"BC037379",1.82886521811214e-09
"AQP2",1.84845806070075e-09
"NKX2-8",1.88630644780514e-09
"CR1",1.90538450315982e-09
"JRKL",1.99097842211339e-09
"MEGF8",2.01650848456735e-09
"FAM199X",2.0293150818464e-09
"243202_at",2.06043868703406e-09
"NRAS",2.14387177630006e-09
"FLT4",2.21320595606516e-09
"TCF3",2.29665654628554e-09
"AU147828",2.31440316640533e-09
"NMRAL1",2.4832854224593e-09
"PCBP1-AS1",2.4832854224593e-09
"MIR6727",2.54564093111862e-09
"HBEGF",2.58621284372245e-09
"SYT6",2.7635423518366e-09
"BF106979",2.824869989582e-09
"KIF5A",2.824869989582e-09
"DDX19A",2.88015225085773e-09
