"geneNames.as.numeric.rownames.res2_coef2..1.l2_2...","res2_coef2.adj.P.Val.1.l2_2."
"XIST",8.07219804557527e-33
"XIST",3.19709156563338e-26
"USP9Y",6.30944526077397e-23
"DDX3Y",6.30944526077397e-23
"RPS4Y1",7.01876341035108e-23
"XIST",1.38538645432879e-19
"EIF1AY",2.49785247987098e-19
"USP9Y",1.80946787821287e-18
"KDM5D",3.76814670514577e-14
"EIF1AY",5.03939303322996e-14
"XIST",3.19930952343313e-13
"XIST",3.52486659930681e-12
"TXLNGY",6.25197702416591e-10
"TXLNGY",7.06294947564047e-09
"TTTY14",3.58175035647326e-08
"AI973051",1.36564798961411e-07
"XIST",2.33779607446172e-07
"AL713714",7.40965358818873e-07
"TXLNGY",8.17654295061711e-07
"TXLNGY",1.70101183708226e-06
"AI753104",3.0330748748259e-06
"TTTY15",5.35661479823949e-06
"DDX3Y",7.47658606119956e-06
"BC022384",1.45024484443242e-05
"237225_at",2.63100379918654e-05
"UTY",3.57152246388011e-05
"ZFY",0.000145335856411191
"NLGN4Y",0.00203981969173995
"PRKY",0.00274973350174142
"TXLNGY",0.0347468749067919
