"geneNames.as.numeric.rownames.res1..1.l1...","res1.adj.P.Val.1.l1."
"CR2",6.76382376717216e-06
"CD22",0.000991491040611911
"MS4A1",0.00303960518579773
"SDHB",0.00303960518579773
"GOT1",0.00594566644551779
"RXRG",0.00594566644551779
"IGKC",0.00623852528589658
"CCL19",0.0123023793279035
"CDK15",0.0135958464033624
"CISD1",0.0135958464033624
"ACADM",0.0167595265050308
"PANK1",0.0167595265050308
"HADHB",0.0167595265050308
"UCP1",0.0167595265050308
"UQCRFS1",0.0167595265050308
"CKMT1A",0.0167595265050308
"CKMT1A",0.0167595265050308
"SCFV",0.0167595265050308
"TLR10",0.0167595265050308
"PDK1",0.0236330656431053
"FCRL3",0.0249749981703464
"OGDHL",0.0249749981703464
"FCRL1",0.0318704730763228
"ETFDH",0.0336236822509684
"control",0.0336236822509684
"ALDH5A1",0.0336236822509684
"FH",0.0336236822509684
"DECR1",0.0491127792167481
