"geneNames.as.numeric.rownames.res_coef2..1.l2...","res_coef2.adj.P.Val.1.l2."
"GH1",1.19191466957117e-24
"CSH2",3.60955573384541e-24
"CSH2",5.66590875563284e-23
"GH1",3.17921799366893e-22
"CSH1",6.82588995581972e-22
"GH1",1.03234469117706e-21
"GH1",4.01846124116034e-21
"CSHL1",7.75603081827093e-21
"DLK1",3.35209234105881e-20
"CSH2",1.18425954946647e-19
"GH1",2.21308047487503e-18
"GH1",3.10576921625529e-18
"GH2",3.36557469462191e-18
"CSHL1",7.97915009570755e-18
"GH1",7.4474174266292e-16
"POMC",9.82844943584791e-16
"GH1",3.41034224759235e-15
"GH2",5.91692786995069e-15
"GH1",2.53490805810231e-14
"COL6A6",7.19683807544246e-14
"GAL",1.04960921982223e-13
"IMPA2",1.1383903262564e-13
"FGF9",6.61369518771826e-13
"BCAT1",8.96682377749512e-13
"NKX2-2",9.67892548599237e-13
"YBX3",1.03122418149758e-12
"DLK1",1.08665547158171e-12
"POU1F1",1.32981411900223e-12
"HIP1R",1.5825223229521e-12
"INS-IGF2",2.11343917723146e-12
"SLC6A15",3.98340231042929e-12
"CSHL1",6.61395633966387e-12
"KCNJ6",4.84754906770069e-11
"CSHL1",6.71746845801474e-11
"BCAT1",8.91812918161218e-11
"CHDH",9.65477897260949e-11
"ISG20",9.65477897260949e-11
"RRBP1",9.65477897260949e-11
"ZNF536",1.02400323992243e-10
"PDGFRA",1.70984880190326e-10
"PCK1",1.87535125753926e-10
"TMEM158",2.20282097720847e-10
"ANGPT1",3.08629397397589e-10
"KCNJ6",4.03669058712733e-10
"OTOS",4.93431967697966e-10
"EFEMP1",5.69835577027845e-10
"HIP1R",7.33851475607748e-10
"IRAK3",9.10642556853365e-10
"PTPN14",1.02833082427108e-09
"ZNF536",1.02833082427108e-09
"CHDH",1.11641859734953e-09
"ALDH1A3",1.32840890702733e-09
"RRBP1",1.47588213082096e-09
"YBX3",1.53228365769274e-09
"KIAA1549L",1.5725518773249e-09
"GADD45B",1.8247025604413e-09
"LURAP1L",2.69250918865823e-09
"MEG9",3.1097375206927e-09
"NBL1",3.3461774490367e-09
"CELP",3.85136442479571e-09
"PPARGC1B",4.43841882955524e-09
"HS3ST1",5.33569806485194e-09
"TGM2",5.33569806485194e-09
"FBLN1",6.20968993117711e-09
"FAM49A",6.27427996190449e-09
"GHSR",7.70158188770241e-09
"MINOS1-NBL1",8.43128636598067e-09
"CEL",9.17000831207333e-09
"CEL",1.02531725647052e-08
"FUT9",1.37044992209609e-08
"PHACTR2",1.39967021445225e-08
"CACNA2D4",1.41926578986055e-08
"FBLN1",1.66555831677718e-08
"BM985423",1.91385800324725e-08
"ZNF536",2.21436171987145e-08
"W72466",2.4369190075828e-08
"AV700891",2.56339115412312e-08
"CD79B",2.60195717932924e-08
"EMP2",2.88871917401998e-08
"DCX",3.06310793167539e-08
"RNF157",3.07563232607192e-08
"GHRHR",3.07563232607192e-08
"C1R",3.08720907149564e-08
"BACE2",3.08720907149564e-08
