"geneNames.as.numeric.rownames.res_coef1..1.l1...","res_coef1.adj.P.Val.1.l1."
"GH1",2.10167271226662e-27
"CSH2",6.57630604395415e-27
"CSH2",1.0931372733866e-25
"GH1",5.02510894875258e-25
"CSH1",1.2604383543041e-24
"GH1",1.56204416716768e-24
"GH1",6.66238429533785e-24
"DLK1",1.40821119930036e-23
"CSHL1",1.40821119930036e-23
"GH1",2.02720928350008e-22
"CSH2",2.02720928350008e-22
"GH1",2.62994933244103e-22
"GH2",3.70796098255408e-22
"CSHL1",1.77523735474571e-20
"GH1",3.49240996501331e-20
"POMC",2.09359210394237e-19
"GH1",2.63728920714884e-19
"GH2",7.26129905696816e-19
"GH1",5.8273605709516e-17
"COL6A6",1.52747212288107e-16
"GAL",2.53661795689553e-16
"IMPA2",4.09328648704502e-16
"FGF9",2.30274623124141e-15
"NKX2-2",2.37425471517987e-15
"HIP1R",2.80865975799669e-15
"DLK1",3.33913170649808e-15
"YBX3",3.33913170649808e-15
"BCAT1",3.77088628214412e-15
"POU1F1",4.66022544624127e-15
"INS-IGF2",6.25112173781283e-15
"SLC6A15",8.38701283661705e-15
"CSHL1",1.53364469005173e-14
"KCNJ6",5.65856719860093e-14
"CHDH",1.43576630846514e-13
"ZNF536",1.44790905661555e-13
"CSHL1",1.74856391757891e-13
"ISG20",2.6077950113295e-13
"PCK1",6.32547393610166e-13
"BCAT1",8.01693203740955e-13
"PDGFRA",8.52160289235247e-13
"ZNF536",8.97712727627211e-13
"KCNJ6",9.95564664823963e-13
"TMEM158",1.09454825856147e-12
"HS3ST1",1.10452841897296e-12
"ANGPT1",1.45672453334371e-12
"HIP1R",1.45672453334371e-12
"RRBP1",2.31496293430346e-12
"OTOS",2.56874839273372e-12
"KIAA1549L",3.94453072523928e-12
"CHDH",4.5526715591974e-12
"GADD45B",4.9949995380629e-12
"MEG9",5.99680548267548e-12
"EFEMP1",6.88015903001588e-12
"ALDH1A3",7.17946573894801e-12
"CACNA2D4",8.4411234165569e-12
"NBL1",8.82205998577782e-12
"PPARGC1B",9.35844004914277e-12
"LURAP1L",9.40959897979325e-12
"CELP",1.06649102588938e-11
"RRBP1",1.67292796735704e-11
"IRAK3",1.93289737797302e-11
"CEL",2.08385468552377e-11
"CEL",2.38402201505451e-11
"FBLN1",3.16688828157867e-11
"FUT9",5.27280196047672e-11
"FAM49A",5.34714952583703e-11
"GHSR",5.34714952583703e-11
"PTPN14",7.08430605279203e-11
"YBX3",7.08430605279203e-11
"W72466",7.2557994713833e-11
"ZNF536",7.32333026514015e-11
"MINOS1-NBL1",7.89845543507824e-11
"FBLN1",9.78373737794727e-11
"CD79B",1.11664374294472e-10
"SRPRB",1.39830232325556e-10
"BACE2",2.01113501394787e-10
"DCX",2.16278167651374e-10
"ALK",2.33496658919895e-10
"U90905",2.37310070151689e-10
"ACSS3",2.37310070151689e-10
"BBOX1",2.37310070151689e-10
"TGM2",2.76033745988705e-10
"SMIM10L2B",3.44192638048176e-10
"RNF157",3.61018918405961e-10
"INPP5F",3.71632844943273e-10
"CEBPD",3.89179701123186e-10
"235680_at",3.92528406115499e-10
"ISG20",4.47491608587293e-10
"IL17RB",4.58827284087009e-10
"IL17RB",5.46374042401338e-10
"ERRFI1",5.52906862743077e-10
"DOK6",5.52906862743077e-10
"NUSAP1",5.55425014766123e-10
"GHRHR",5.64973491004636e-10
"SNORD114-3",7.3076151212763e-10
"CLCN5",1.04575841016718e-09
"CISH",1.1875816839063e-09
"IL17RB",1.19363513341186e-09
"IL6R",1.19649149472069e-09
"LOC101060391",1.26675658180164e-09
"BCAT1",1.30067319357321e-09
"KDELR3",1.30067319357321e-09
"AI291804",1.45311620234924e-09
"TLE3",1.51692726826593e-09
"PHACTR2",1.51692726826593e-09
"244382_at",1.56990529715384e-09
"GADD45B",1.6255150677766e-09
"BRE-AS1",1.62697415075259e-09
"CERS6",1.62697415075259e-09
"GHRHR",1.68168104945327e-09
"LRFN5",1.9763542581406e-09
"SGMS2",1.99683771242596e-09
"PDIA4",2.05600627935854e-09
"DCX",2.0690201752155e-09
"ZNF667",2.22277384845583e-09
"CHST1",2.2559470912694e-09
"CSHL1",2.3315123866693e-09
"AV700891",2.39438411758149e-09
"242449_at",2.46810545929352e-09
"SLIT1",2.51793215817697e-09
"DUSP22",2.57136503607185e-09
"GADD45B",2.64261462665543e-09
"ATP11A",2.64261462665543e-09
"NDNF",2.70572224597188e-09
"AI684643",2.86403553308137e-09
"ZFPM2",2.93368696755122e-09
"WDFY2",3.43542722968621e-09
"FBXO31",3.46948566886121e-09
"CEBPD",3.53233621138501e-09
"PDIA4",3.56117684375784e-09
"EAPP",3.56117684375784e-09
"C12orf29",3.60796824164954e-09
"TMSB15B",3.62065761292031e-09
"GH2",3.69705351439812e-09
"STK3",3.78911329830427e-09
"SPIDR",3.95584774889178e-09
"LSM11",4.20720957963723e-09
"FAM171A1",4.26447987281131e-09
"AF086027",4.42498784530533e-09
"CYGB",4.47181460851199e-09
"PPARGC1A",4.47842748659648e-09
"KIAA0513",4.54008212576206e-09
"LAYN",4.69026879323239e-09
"FBLN1",4.74413657445478e-09
"IRAK3",4.74413657445478e-09
"SLC44A3",4.91080489863682e-09
"AF086027",4.91080489863682e-09
"C1R",4.9586846417931e-09
"FAT1",5.01614720400755e-09
"PLAGL1",5.0455354758333e-09
"RABL3",5.11403199708449e-09
"AW612461",5.11403199708449e-09
"DNM3",5.61849962183744e-09
"C1S",5.94298774889469e-09
"EMP2",6.25060619332694e-09
"SSBP2",6.28033567029005e-09
"AA001150",6.28033567029005e-09
"PCYT1B",6.56148190440958e-09
"AI651786",6.6074633849181e-09
"PDE7B",6.62531829401332e-09
"CACNA2D4",6.62531829401332e-09
"AL832732",6.62531829401332e-09
"GLIS3",6.84025366768732e-09
"SEMA5A",7.2553286683375e-09
"RPS6KA2",7.56738174759703e-09
"THBD",7.56738174759703e-09
"NECAB1",7.81112220048538e-09
"PLAGL1",8.00248680056803e-09
"EFNB3",8.12085821882414e-09
"PHACTR2",8.16062396485356e-09
"MAD2L1",8.40651815081812e-09
"NANS",8.49947106710179e-09
"DOPEY1",8.50480228551465e-09
"SEC22A",8.71928241394385e-09
"FOXK1",9.03797710272075e-09
"ETS2",9.37886116154234e-09
"ABCA8",9.67889357756253e-09
"SKAP2",9.67889357756253e-09
"STK26",1.01908974208996e-08
"EPS8",1.02232664833217e-08
"SSBP2",1.02679607108248e-08
"CGA",1.08108862474207e-08
"FGF12",1.09417470026579e-08
"KLHDC8B",1.1579971236796e-08
"PCSK6",1.23649364659365e-08
"PDLIM4",1.25357265353813e-08
"FBXO31",1.25357265353813e-08
"ADH1B",1.29341202688025e-08
"FAM181B",1.33900934677832e-08
"BCL2",1.37313884446836e-08
"ENO2",1.39891758560254e-08
"GSTCD",1.42307574649094e-08
"ZNF804A",1.47605164791984e-08
"EPB41L5",1.48697190851273e-08
"RCAN1",1.48697190851273e-08
"SRPRB",1.4895793215565e-08
"NLGN1",1.4895793215565e-08
"CFI",1.49322257818122e-08
"ATP2A2",1.49322257818122e-08
"MCU",1.52792747787296e-08
"SEZ6L",1.53947579224212e-08
"COL4A4",1.54633619820052e-08
"KATNBL1",1.54633619820052e-08
"AU147903",1.57763431397729e-08
"MANF",1.57862313862792e-08
"DHRS3",1.65932181315925e-08
