"geneNames.as.numeric.rownames.res_coef3..1.l3...","res_coef3.adj.P.Val.1.l3."
"TMEM182",1.27265735451901e-06
"MYCN",3.14843372331134e-06
"AV742010",3.14843372331134e-06
"AK021423",3.14843372331134e-06
"BG428861",3.14843372331134e-06
"SFI1",1.03941106999012e-05
"MIS18BP1",6.15719705844669e-05
"TRIM13",6.15719705844669e-05
"PRLR",0.000146990323345335
"AW511032",0.000336594755855125
"BCL2L11",0.000371979160077002
"B3GALT5",0.000444151322539786
"BC036519",0.000463989716164833
"NOL12",0.000463989716164833
"APLN",0.000463989716164833
"TBXAS1",0.00053724078716054
"OR7E24",0.000999132519068373
"AI732702",0.00129071077578347
"DUSP16",0.00166394497903469
"VN1R1",0.00173711753571783
"ANKRD16",0.00189652471663784
"AL043897",0.00190274954033749
"TRMT61A",0.00202397585403198
"SEL1L",0.00220755857535908
"DNAH1",0.00220755857535908
"COLQ",0.00220755857535908
"MMAA",0.00158291519348296
"SAP25",0.00283980165220438
"KLHL31",0.00304325117095402
"RNF144A-AS1",0.0031913232424659
"IFNA6",0.00270173853345781
"LOC100996919",0.00189652471663784
"CYTH2",0.00521027332634705
"AA706753",0.00558803850536729
"LINC00460",0.0063243783410068
"SIPA1L2",0.0063243783410068
"CHST2",0.00525007947583137
"ZNF333",0.00642489805660932
"SLC2A1-AS1",0.0031913232424659
"DOCK9",0.00642489805660932
"SLC35D2",0.00947489275110725
"BORCS8",0.0107443249548923
"DAB2IP",0.0107443249548923
"ZRANB3",0.0107443249548923
"TRNAU1AP",0.0121451153194609
"FKBP4",0.0111524785961508
"239423_at",0.0138237061197154
"CASC2",0.0139666590969466
"AKT2",0.0144456452015192
"AL134012",0.0159803762293344
"TTC17",0.0159803762293344
"MIB1",0.0164875350636804
"LOC101928370",0.0182620782068698
"BICD1",0.0182620782068698
"LOC646482",0.0201829665201951
"WHRN",0.0223681647898538
"BU740192",0.0229524303821312
"LOC101929050",0.0232713033740177
"1554963_at",0.0234700780809651
"SERP2",0.0234700780809651
"LOC101929740",0.0246912615048392
"ZNF79",0.0246912615048392
"XRCC4",0.026192836980557
"MR1",0.0275051991016037
"239702_x_at",0.0234700780809651
"CPSF1",0.0324949173764522
"FAM126A",0.0324949173764522
"TRIM33",0.0338054302706971
"PCDH9",0.0347555562618557
"CSMD1",0.0351080720332544
"244813_at",0.0356783522166311
"CYP24A1",0.0357545642832137
"NT5DC4",0.0357545642832137
"AU144090",0.0351080720332544
"GPX8",0.0357545642832137
"NUTM2B-AS1",0.0357545642832137
"AW513672",0.0357545642832137
"TCEA1",0.0369989024417325
"C14orf105",0.0382445944715784
"FAM198A",0.039164324472844
"NAAA",0.039164324472844
"VPS13C",0.0397938804979512
"MYLK3",0.038702909554534
"RUBCN",0.0481203212827033
"ITGBL1",0.0493998577175504
