"Gene","Adjusted_PValue"
"XIST",8.56277799411339e-34
"XIST",8.56277799411339e-34
"XIST",8.56277799411339e-34
"XIST",8.56277799411339e-34
"XIST",8.56277799411339e-34
"XIST",8.56277799411339e-34
"XIST",8.56277799411339e-34
"XIST",8.07219804557527e-33
"XIST",8.07219804557527e-33
"XIST",8.07219804557527e-33
"XIST",8.07219804557527e-33
"XIST",8.07219804557527e-33
"XIST",8.07219804557527e-33
"XIST",8.07219804557527e-33
"RPS4Y1",5.87799544980698e-26
"RPS4Y1",5.87799544980698e-26
"RPS4Y1",5.87799544980698e-26
"RPS4Y1",5.87799544980698e-26
"RPS4Y1",5.87799544980698e-26
"RPS4Y1",5.87799544980698e-26
"RPS4Y1",5.87799544980698e-26
"RPS4Y1",7.32457831556966e-26
"RPS4Y1",7.32457831556966e-26
"RPS4Y1",7.32457831556966e-26
"RPS4Y1",7.32457831556966e-26
"RPS4Y1",7.32457831556966e-26
"RPS4Y1",7.32457831556966e-26
"RPS4Y1",7.32457831556966e-26
"DDX3Y",1.61580133050636e-23
"DDX3Y",1.61580133050636e-23
"DDX3Y",1.61580133050636e-23
"DDX3Y",1.61580133050636e-23
"DDX3Y",1.61580133050636e-23
"DDX3Y",1.61580133050636e-23
"DDX3Y",1.61580133050636e-23
"RPS4Y1",1.77679444580053e-23
"RPS4Y1",1.77679444580053e-23
"RPS4Y1",1.77679444580053e-23
"RPS4Y1",1.77679444580053e-23
"RPS4Y1",1.77679444580053e-23
"RPS4Y1",1.77679444580053e-23
"RPS4Y1",1.77679444580053e-23
"RPS4Y1",2.15877769653902e-23
"RPS4Y1",2.15877769653902e-23
"RPS4Y1",2.15877769653902e-23
"RPS4Y1",2.15877769653902e-23
"RPS4Y1",2.15877769653902e-23
"RPS4Y1",2.15877769653902e-23
"RPS4Y1",2.15877769653902e-23
"USP9Y",6.30944526077397e-23
"DDX3Y",6.30944526077397e-23
"USP9Y",6.30944526077397e-23
"DDX3Y",6.30944526077397e-23
"USP9Y",6.30944526077397e-23
"DDX3Y",6.30944526077397e-23
"USP9Y",6.30944526077397e-23
"DDX3Y",6.30944526077397e-23
"USP9Y",6.30944526077397e-23
"DDX3Y",6.30944526077397e-23
"USP9Y",6.30944526077397e-23
"DDX3Y",6.30944526077397e-23
"USP9Y",6.30944526077397e-23
"DDX3Y",6.30944526077397e-23
"RPS4Y1",7.01876341035108e-23
"RPS4Y1",7.01876341035108e-23
"RPS4Y1",7.01876341035108e-23
"RPS4Y1",7.01876341035108e-23
"RPS4Y1",7.01876341035108e-23
"RPS4Y1",7.01876341035108e-23
"RPS4Y1",7.01876341035108e-23
"USP9Y",1.41701486990293e-22
"USP9Y",1.41701486990293e-22
"USP9Y",1.41701486990293e-22
"USP9Y",1.41701486990293e-22
"USP9Y",1.41701486990293e-22
"USP9Y",1.41701486990293e-22
"USP9Y",1.41701486990293e-22
"RPS4Y1",2.80224954728559e-21
