"Item","Frequency"
"RPS4Y1",21
"DDX3Y",20
"KDM5D",18
"USP9Y",18
"EIF1AY",16
"XIST",15
"UTY",15
"TXLNGY",12
"ZFY",11
"TTTY15",8
"TTTY14",8
"NLGN4Y",7
"PRKY",7
"BC022384",6
"ZFX",5
"AL713714",5
"RPS4Y2",4
"AI973051",4
"AI753104",4
"237225_at",4
"APLN",3
"KDM5C",3
"DAZ4",3
"OFCC1",3
"DNAH1",3
"control",3
"LMBR1",3
"SEPT6",3
"TTTY10",3
"TBL1Y",3
"CYORF15A",3
"CYORF15B",3
"TMSB4Y",3
"P3H4",2
"PHLDA1",2
"CD22",2
"OR51B6",2
"ZBED1",2
"MYH9",2
"HOMER3",2
"ZPBP",2
"STK11",2
"CARHSP1",2
"ABTB2",2
"CBS",2
"ARHGEF12",2
"LINC00892",2
"WHRN",2
"SQSTM1",2
"GUCD1",2
"DCAF7",2
"BCL11A",2
"TWF1",2
"C1QL1",2
"MLLT1",2
"N4BP2L1",2
"MID2",2
"NOL12",2
"HSF1",2
"ZNF333",2
"WDFY3",2
"UBE2J2",2
"CA8",2
"KIR2DS1",2
"ITPKB",2
"TRPM4",2
"FRAS1",2
"B4GALT6",2
"TBC1D9B",2
"SOWAHC",2
"ZNF19",2
"FAM205BP",2
"C10orf76",2
"C8orf82",2
"PCSK5",2
"TCAF1",2
"WNK1",2
"DEFB106B",2
"IGKC",2
"TBC1D13",2
"ZNF503",2
"POLR2J",2
"VSTM4",2
"BCL6",2
"PPP1R14B",2
"CCT4",2
"AI732702",2
"FOXP2",2
"SLC25A27",2
"SLC6A8",2
"FAM129B",2
"FZD7",2
"EVA1B",2
"TRIM36",2
"WDR25",2
"SF3B2",2
"AL134012",2
"PKN1",2
"AW445213",2
"PPP1R32",2
"TOR1AIP2",2
"HK2",2
"TTC7A",2
"TBC1D9",2
"RAB8A",2
"ABHD4",2
"ZNF703",2
"FRYL",2
"ATP13A4",2
"FAM111B",2
"NENF",2
"SERGEF",2
"ALDOB",2
"ADARB1",2
"CDC42EP4",2
"HOXC10",2
"NKD1",2
"LAMTOR1",2
"AFM",2
"BC009643",2
"RABGEF1",2
"CSTB",2
"OLIG2",2
"SLC22A7",2
"GATAD2A",2
"BACH1",2
"MED16",2
"CDH4",2
"BTBD2",2
"NOTCH1",2
"GMPS",2
"PPFIBP1",2
"SFXN5",2
"N4BP1",2
"NOL4L",2
"OR5E1P",2
"RTKN",2
"GLYATL2",2
"FAM43A",2
"LOC102723845",2
"AMER3",2
"GALT",2
"KCNIP4",2
"ZFP36L2",2
"MYLK3",2
"UBE2A",2
"NEK11",2
"SERF2-C15ORF63",2
"MIR675",2
"IL6R",2
"PPM1L",2
"ACACB",2
"LRCH1",2
"1554963_at",2
"CTDSP2",2
"SGCD",2
"SZT2",2
"WRAP73",2
"PTGR1",2
"LFNG",2
"SLC24A1",2
"GDF3",2
"NAV3",2
"CASZ1",2
"SLC38A5",2
"EIF1AX",2
"chrY:21034391-21040114",2
"LINC00965",2
"chr15:46952856-46952958",2
"CCDC90B",2
"MRPL14",2
"PCDH11Y",2
"GRID2",2
"DNM1P46",2
"LOC102725104",2
"POLE4",2
"EIF1B",2
"chr5:103434575-103434740",2
"chr3:146714394-146714500",2
"BC063894",2
"TCEA1",2
"BBOX1",2
"TMEM163",2
"TMPO",2
"GATA6",2
"PEX13",2
"SOCS3",2
"PDE5A",2
"SMURF1",2
"ADK",2
"TPD52",2
"UBR5-AS1",2
"SFI1",2
"DIDO1",2
"TTC17",2
"IFNGR1",2
"CD46",2
"GPR89A",2
"SKIV2L2",2
"B3GALT5",2
"LOC729887",2
"MALT1",2
"KYNU",2
"HMGA2",2
"COLQ",2
"DOCK9",2
"RUBCN",2
"HNRNPUL2-BSCL2",2
"MBOAT1",2
"EFNA3",2
"PCBP2",2
"LRRFIP2",2
"AIFM1",2
"RAB11A",2
"PRKX",2
"OSBPL5",2
"ATP2B4",2
"CHST15",2
"KCTD5",2
"ZRSR2",2
"HSPA6",2
"PUDP",2
"PYY",1
"SCGB2A1",1
"BAAT",1
"NDUFS7",1
"SIPA1",1
"SRGAP3",1
"LOC283674",1
"CLMN",1
"TSIX",1
"SIGIRR",1
"NUP62CL",1
"GTPBP6",1
"CYP3A7-CYP3A51P",1
"AF085937",1
"1566044_at",1
"RASIP1",1
"LOC151121",1
"CDK2AP2",1
"AI021902",1
"ZFP36L1",1
"SYNE3",1
"STAT5B",1
"HCG18",1
"NTN1",1
"SPI1",1
"APAF1",1
"PIAS4",1
"PLA2G4B",1
"HCP5B",1
"CALML5",1
"PTPN12",1
"AL713663",1
"FKBP15",1
"ITGAL",1
"C1orf68",1
"VCAN",1
"PHTF2",1
"NFKB2",1
"CRHR1",1
"SLC12A9",1
"AK026378",1
"AFF2",1
"CASKIN2",1
"JAGN1",1
"PKD1L2",1
"CLRN1",1
"TP53BP1",1
"AW085501",1
"ZNF259P1",1
"FMN1",1
"BC032043",1
"GCDH",1
"ARHGAP22",1
"LOC158402",1
"SH3BGRL3",1
"LOC101930630",1
"KRTAP4-11",1
"AA716482",1
"PGK1",1
"AW976247",1
"HMG20B",1
"DNAJC1",1
"ZNF733P",1
"MAP3K6",1
"NOTCH4",1
"ARHGEF10L",1
"243682_at",1
"GAL3ST1",1
"LOC101927907",1
"CCL23",1
"BMP7",1
"NFATC3",1
"INSR",1
"ZNF697",1
"AB051438",1
"MIR6791",1
"PPFIBP2",1
"ACPP",1
"AHSA2",1
"SLAMF1",1
"DENND2A",1
