"geneNames.as.numeric.rownames.res1..1.l1...","res1.adj.P.Val.1.l1."
"HEY2",3.70691152093575e-12
"CALCR",3.70691152093575e-12
"TSPAN12",1.40912838789043e-11
"MAN1C1",3.22713880191392e-11
"ZIC4",3.22713880191392e-11
"MFSD2A",3.86014201093284e-11
"CYP26A1",3.86014201093284e-11
"ANOS1",3.86014201093284e-11
"S100A16",4.7449604439769e-11
"WDR91",1.20758365102907e-10
"chr3:146714394-146714500",5.63134425436369e-10
"SLC44A5",6.3462744634598e-10
"GFAP",6.47837083776945e-10
"CHMP1B",9.67280442358625e-10
"TYRO3",1.59777337150394e-09
"SLC6A9",1.79748271710665e-09
"PDE4D",1.79748271710665e-09
"TMEM132A",2.83085223839643e-09
"RASGRP1",2.83085223839643e-09
"PXDNL",3.32905876573113e-09
"ARHGAP18",4.8382787384623e-09
"ACTN2",5.41080857738029e-09
"TIMP3",6.53549745675284e-09
"ALDH1L1",6.53549745675284e-09
"VSTM4",6.53549745675284e-09
"FAM189A2",6.57448458205485e-09
"SEPT11",6.66994756718152e-09
"PGM5P2",6.66994756718152e-09
"chr5:58518794-58518947",8.4212627021006e-09
"ASTN1",8.49547545918652e-09
"PGM5P2",8.49547545918652e-09
"NPTX2",8.49547545918652e-09
"RAB31",8.68299303467931e-09
"MATN2",1.01210185181886e-08
"AB072904",1.02947330689434e-08
"ARL4A",1.04538287340566e-08
"ZIC1",1.19539380669868e-08
"CYYR1",1.19539380669868e-08
"BCKDHB",1.55837736693885e-08
"CHRM3",1.56927352399727e-08
"GLIPR2",1.78770112954918e-08
"SLC34A2",2.54280460899964e-08
"PDLIM1",2.59217469020126e-08
"ARHGEF4",2.67903302526939e-08
"HEPACAM",3.79411636443051e-08
"SIPA1L2",3.79887701226752e-08
"GPX3",3.80608889599364e-08
"NET1",4.1103555175825e-08
"UNC5C",4.20976142131886e-08
"PLEKHG4B",4.3183351468514e-08
"HACD4",4.3183351468514e-08
"XRRA1",5.30395057174238e-08
"JADE3",5.72371587400994e-08
"CHST9",5.72371587400994e-08
"ATP13A4",6.6836939866188e-08
"SLIT2",6.6836939866188e-08
"C2CD2",7.59517533378439e-08
"C4B_2",9.02634997538894e-08
"C4B_2",9.02634997538894e-08
"C4B_2",9.02634997538894e-08
"FNDC7",1.54308287597948e-07
"VEGFC",1.54308287597948e-07
"CXCL12",1.66155951526895e-07
"PGM5",1.66155951526895e-07
"IL1RAP",1.66155951526895e-07
"LYPD6",1.66155951526895e-07
"VAMP1",1.69935651741251e-07
"IL1RAPL1",2.22411195722217e-07
"SEMA4C",2.52062972482379e-07
"KLHDC8A",2.52062972482379e-07
"NOG",2.52062972482379e-07
"CFI",2.54680052827481e-07
"SCARA3",2.603944055745e-07
"KCND3",2.61421025485223e-07
"RNF43",2.6811645123264e-07
"MFAP3L",2.6811645123264e-07
"BCOR",2.78927061376718e-07
"FRMPD3",2.86370138705024e-07
"FOXN3",2.86370138705024e-07
"FGFR1",2.86370138705024e-07
"VASH1",3.0587819301025e-07
"MARCH3",3.69907966540547e-07
"CLMN",3.69907966540547e-07
"APOL4",3.89417215839792e-07
"HEY1",3.92648013917293e-07
"WNT2B",4.05606948199062e-07
"ACOT9",4.54394172116103e-07
"LOC100131826",5.05173159328047e-07
"ZNF280D",5.11112807716392e-07
"FAM106CP",5.80887135060079e-07
"VGLL3",5.80887135060079e-07
"CCDC144CP",5.8641453917779e-07
"UPK3BL",5.86534356817176e-07
"FAM46A",5.86534356817176e-07
"SERPINI1",5.86534356817176e-07
"ARAP2",5.86534356817176e-07
"PTCHD1",6.21239730919682e-07
"ZMAT4",6.48684243631657e-07
"ADAMTS15",6.55294412028011e-07
"FAM181B",6.93919448616126e-07
"C9orf47",7.31949175599889e-07
"MIR9-1",7.48882559278981e-07
"chr6:120847440-120847546",7.48882559278981e-07
"SV2C",7.52358246892786e-07
"DCT",8.00620494396482e-07
"chr18:39850554-39850643",9.32675046400215e-07
